SKU,Nombre,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
2070,BUJE 50/50 DE BOLITA SANYO,30.17,30.17,21.55,9.51,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":9.51,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2069,BUJE ANTIGUA ROK MEDIDA PHILIP,34.48,34.48,25.86,13.62,21.55,17.24,"{""regular"":34.48,""tecnico"":25.86,""cananea"":13.62,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2075,BUJE BOLITA HIERRO 10MM DIAM. INT.,30.17,30.17,21.55,7.33,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":7.33,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2077,BUJE DE BRONCE DIAM 8MM MITEK,34.48,34.48,25.86,11.32,21.55,17.24,"{""regular"":34.48,""tecnico"":25.86,""cananea"":11.32,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2067,BUJE MOTOR VENTILADOR PEDESTAL BRONCE,47.41,47.41,38.79,21.81,34.48,30.17,"{""regular"":47.41,""tecnico"":38.79,""cananea"":21.81,""mayoreo_menos"":34.48,""mayoreo_mas"":30.17}"
2066,BUJE PARA VENT. DE PISO MODERNO HIERRO,30.17,30.17,21.55,7.24,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":7.24,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2078,BUJE RA2,43.1,43.1,34.48,17.66,30.17,25.86,"{""regular"":43.1,""tecnico"":34.48,""cananea"":17.66,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
504,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V,56.03,56.03,43.1,23.42,38.79,34.48,"{""regular"":56.03,""tecnico"":43.1,""cananea"":23.42,""mayoreo_menos"":38.79,""mayoreo_mas"":34.48}"
037103575883,HIDROLAVADORA A PRESION 1400W 1160 PSI 120V GB,0.86,0.86,0.86,0.86,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1927,INTERRUPTOR DE PLAFON 3 VEL.,64.66,64.66,51.72,25.34,43.1,34.48,"{""regular"":64.66,""tecnico"":51.72,""cananea"":25.34,""mayoreo_menos"":43.1,""mayoreo_mas"":34.48}"
1930,INTERRUPTOR DE PLAFON S/C,56.03,56.03,51.72,33.5,43.1,38.79,"{""regular"":56.03,""tecnico"":51.72,""cananea"":33.5,""mayoreo_menos"":43.1,""mayoreo_mas"":38.79}"
1926,INTERUPTOR DE PLAFON PARA LUZ,51.72,51.72,34.48,21.73,34.48,30.17,"{""regular"":51.72,""tecnico"":34.48,""cananea"":21.73,""mayoreo_menos"":34.48,""mayoreo_mas"":30.17}"
1659,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO,77.59,77.59,77.59,64.66,0,0,"{""regular"":77.59,""tecnico"":77.59,""cananea"":64.66,""mayoreo_menos"":0,""mayoreo_mas"":0}"
46925,ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG,20,20,20,4.74,20,20,"{""regular"":20,""tecnico"":20,""cananea"":4.74,""mayoreo_menos"":20,""mayoreo_mas"":20}"
7501206689868,ACEITE MULTIUSOS 30 ML,17.24,17.24,15.52,12.76,0,0,"{""regular"":17.24,""tecnico"":15.52,""cananea"":12.76,""mayoreo_menos"":0,""mayoreo_mas"":0}"
7501206689875,ACEITE MULTIUSOS 90 ML,29.31,29.31,24.14,19.93,0,0,"{""regular"":29.31,""tecnico"":24.14,""cananea"":19.93,""mayoreo_menos"":0,""mayoreo_mas"":0}"
7503003799627,ACIDO COIL CLENNER GAL. MOR,137.93,137.93,0,114.56,0,0,"{""regular"":137.93,""tecnico"":0,""cananea"":114.56,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2000,ACIDO COIL CLENNER MOR.BIDON 20LT,836.21,836.21,775.86,501.06,724.14,724.14,"{""regular"":836.21,""tecnico"":775.86,""cananea"":501.06,""mayoreo_menos"":724.14,""mayoreo_mas"":724.14}"
